- question: "¿Dónde está la biblioteca?"
  options:
    - "Library"
    - "Bank"
    - "Hospital"
    - "School"
  correctOptionIndex: 0
  explanation: "'¿Dónde está la biblioteca?' means 'Where is the library?' which is the correct way to ask for directions."

- question: "What does 'izquierda' mean?"
  options:
    - "Right"
    - "Left"
    - "Straight"
    - "Back"
  correctOptionIndex: 1
  explanation: "'Izquierda' means 'left' in Spanish."

- question: "¿Cómo se dice 'turn right' en español?"
  options:
    - "Gira a la derecha"
    - "Gira a la izquierda"
    - "Sigue recto"
    - "Da la vuelta"
  correctOptionIndex: 0
  explanation: "'Gira a la derecha' means 'turn right' in Spanish."

- question: "La farmacia está ___ la esquina."
  options:
    - "en"
    - "a"
    - "de"
    - "por"
  correctOptionIndex: 0
  explanation: "'En' is the correct preposition to indicate location in this context."

- question: "¿Cuál es la traducción de 'street'?"
  options:
    - "Calle"
    - "Avenida"
    - "Carretera"
    - "Camino"
  correctOptionIndex: 0
  explanation: "'Calle' is the Spanish word for 'street'."

- question: "¿Qué significa 'semáforo'?"
  options:
    - "Traffic light"
    - "Stop sign"
    - "Crosswalk"
    - "Speed bump"
  correctOptionIndex: 0
  explanation: "'Semáforo' means 'traffic light' in Spanish."

- question: "El banco está __ frente __ la iglesia."
  options:
    - "en, de"
    - "a, de"
    - "en, a"
    - "por, de"
  correctOptionIndex: 1
  explanation: "The correct expression is 'a frente de' meaning 'in front of'."

- question: "¿Cómo se pregunta 'How do I get to the museum?'"
  options:
    - "¿Cómo llego al museo?"
    - "¿Dónde está el museo?"
    - "¿Puedo ir al museo?"
    - "¿Cuál es el museo?"
  correctOptionIndex: 0
  explanation: "'¿Cómo llego al museo?' is the correct way to ask 'How do I get to the museum?'"

- question: "La estación de tren está ___ del parque."
  options:
    - "cerca"
    - "lejos"
    - "dentro"
    - "fuera"
  correctOptionIndex: 0
  explanation: "'Cerca' means 'near' or 'close to'."

- question: "What is the meaning of 'cruzar'?"
  options:
    - "To cross"
    - "To turn"
    - "To go straight"
    - "To return"
  correctOptionIndex: 0
  explanation: "'Cruzar' means 'to cross' in Spanish."

- question: "¿Cuál es la palabra para 'neighborhood'?"
  options:
    - "Barrio"
    - "Ciudad"
    - "Pueblo"
    - "País"
  correctOptionIndex: 0
  explanation: "'Barrio' is the Spanish word for 'neighborhood'."

- question: "Siga todo ___ hasta llegar a la plaza."
  options:
    - "recto"
    - "derecho"
    - "izquierdo"
    - "atrás"
  correctOptionIndex: 0
  explanation: "'Recto' means 'straight' in this context."

- question: "The word for 'roundabout' in Spanish is:"
  options:
    - "Rotonda"
    - "Círculo"
    - "Vuelta"
    - "Giro"
  correctOptionIndex: 0
  explanation: "'Rotonda' is the Spanish word for 'roundabout'."

- question: "¿Qué significa 'a dos cuadras'?"
  options:
    - "Two blocks away"
    - "Two streets over"
    - "Two turns"
    - "Two minutes"
  correctOptionIndex: 0
  explanation: "'A dos cuadras' means 'two blocks away'."

- question: "La oficina de correos está ___ la esquina."
  options:
    - "en"
    - "a"
    - "de"
    - "por"
  correctOptionIndex: 2
  explanation: "'De' is used here to indicate 'on' the corner."

- question: "¿Cómo se dice 'go straight' en español?"
  options:
    - "Siga recto"
    - "Gire a la derecha"
    - "Cruce la calle"
    - "Dé la vuelta"
  correctOptionIndex: 0
